Name of card,cost,type,description,Card Status,supply,Starting/Supply,"Product (base, stretch, exp)",art status,Image,sync,pos/neg,HP,Playtest Version,@background,@startingicon,@art,cardnum,Flavor Text,Image2
Crystal,0,Gem,Gain 1 \Money{}.,x,32,Starting,Base,finished,Amethyst,1,,,all,/links/gembackground.eps,/links/starting card icon.ai,,1,"""The aether that spilled forth in the wake of The Nameless became trapped in even the simplest of stones. Now these gems grant us the same power that put our world low."" Brama, breach mage elder",Amethyst
Amethyst Shard,0,Gem,Gain 1 $. Any ally may draw a card and then discard a card.,x,1,Starting,Base,finished,Topaz,1.24,,,2,/links/gembackground.eps,/links/starting card icon.ai,,3,"There is an irony to the weaponsmith that is best described as ""blunt."" Adelheim is far from a pleasant man, but his loyalty for the breach mages of Gravehold is unrivaled.",Topaz
Emerald Shard,0,Gem,Gain 1 $. OR Any player gains 1 life.,x,1,Starting,Base,finished,Emerald,1,,,1,/links/gembackground.eps,/links/starting card icon.ai,,4,"The caves run deep in Gravehold, some say to a shadow city even older than time. Yet none have delved as deep as Kadir. More than any, she believes their fate lies deeper still, not back to the ruin above.",Emerald
Garnet Shard,0,Gem,Gain 1 $ OR Cast any player's prepped spell.,x,1,Starting,Base,finished,Crystal,1.03,,,1,/links/gembackground.eps,/links/starting card icon.ai,,5,"Mist rose through the ranks of Gravehold's dagger guard as though she was born for the task. Thrice she has walked into the breach to face them, a feat not yet attempted by other mages.",Crystal
Moonstone Shard,0,Gem,Gain 1 $. Gain an additional 1 $ that can only be used to gain a gem.,x,1,Starting,Base,prep,Onyx,1.03,,,1,/links/gembackground.eps,/links/starting card icon.ai,,6,"Like many children of Gravehold, Jian was left an orphan, stricken silent by the very thing that took her father's light. Some say she is tainted by The Nameless, for none can tame the breach like her.",Onyx
Tourmaline Shard,0,Gem,Gain 1 $. Any ally may suffer 1 damage to destroy a card in their hand.,x,1,Starting,Base,finished,Amber,1.03,,,1,/links/gembackground.eps,/links/starting card icon.ai,,7,Phaedraxa is burdened with a sense beyond sight. Only she remembers The World That Was. And only she has seen the fate of Gravehold in the stones that fuel our breaches.,Amber
Obsidian Shard,0,Gem,"Gain 1 $. You may suffer 1 damage. If you do, gain an additional 2 $.",x,1,Starting,Expansion,prep,Garnet,1.03,,,2,/links/gembackground.eps,/links/starting card icon.ai,,D03,"War is the way of the world now, and none know this better than Reeve. They say she doesn't sleep. She just sharpens that blade of hers patiently, eager for a breach to bring her worthy foes.",Garnet
Quartz Shard,0,Gem,"Gain 1 $. Reveal the top card of the turn order deck. You may place that card on the bottom or the top of the turn order deck. If you revealed a player turn order card, gain an additional 1 $. ",x,1,Starting,Base,finished,Zirconium,1.03,,,2,/links/gembackground.eps,/links/starting card icon.ai,,N03,"Laughter is scarce these days in Gravehold, yet Lash manages to conjure a smile in most he meets. ",Zirconium
Jade,2,Gem,Gain 2 $.,x,7,Supply,Base,finished,G,1,,,all,/links/gembackground.eps,,,12,Jade is as common as bone at the mouth of the cave.,G
Sifter's Pearl,3,Gem,Gain 2 $. Each player reveals the top card of their deck and either discards it or returns it to the top of their deck.,x,7,Supply,Base,prep,H,1.03,,,all,/links/gembackground.eps,,,14,"""To the untrained eye the pearl is merely opalescent. But to those who have stepped through the breach, it shows the splinters of time itself."" Phaedraxa, breach mage seer",H
V'riswood Amber  ,3,Gem,"When you gain this, you may place this on top of your deck. Gain 2 $.",x,7,Supply,Base,prep,I,1.03,,,2,/links/gembackground.eps,,,15,"""Once, the trees of V'riswood towered ancient and beautiful. These polished bits of their amber is all that remains beyond that memory."" Brama, breach mage elder",I
Leeching Agate,3,Gem,"When you gain this, gain 1 charge. Gain 2 $.",x,7,Supply,Stretch-Exp,,J,1.2,,,1,/links/gembackground.eps,,,N04,"""These stones are among the most powerful in the labyrinth of lost caves. They are also the most corrupted."" Kadir, breach mage delver",J
Diamond Cluster,4,Gem,"Gain 2 $. If this is the second Diamond Cluster you have played this turn, gain an additional 2 $.",x,7,Supply,Base,,DiamondCluster,1.03,,,2,/links/gembackground.eps,,,11,"""Before The Nameless, these gems were considered the most precious, the most scarce. Now they line the walls of caves like shimmering fangs."" Kadir, breach mage delver ",DiamondCluster
Searing Ruby,4,Gem,Gain 2 $. Gain an additional 1 $ that can only be used to gain a spell.,x,7,Supply,Base,,Ruby,1.03,,,all,/links/gembackground.eps,,,13,"""Some use these to heat and light their hovels against the dark of the cave. Others know that within these gems lies a fire that can be tamed."" Ghan, gem scavenger",Ruby
Burning Opal,5,Gem,"Gain 3 $. You may discard a card. If you do, any ally draws a card.",x,7,Supply,Base,,M,1.03,,,1,/links/gembackground.eps,,,9,"""Careful, youngling. You'll be wanting tongs to handle that!"" Adelheim, breach mage weaponsmith",M
Banishing Topaz,5,Gem,"Gain 2 $. You may place any card in hand on the top of your deck. If you do, gain an additional 2 $.",x,7,Supply,Expansion,,L,1.27,,,all,/links/gembackground.eps,,,D04,"""They give. And then they take."" Mist, breach mage dagger captain",L
Clouded Sapphire,6,Gem,"Gain 3 $. If this is the first Clouded Sapphire you have played this turn, any ally gains 1 charge.",x,7,Supply,Base,,Sapphire,1.03,,,all,/links/gembackground.eps,,,10,"""They say if you look closely, the shadow of The World That Was is imprisoned within."" Phaedraxa, breach mage seer",Sapphire
Flexing Dagger,2,Relic,"The next time you focus or open a breach this turn, it costs 3 $ less. OR Destroy this. Deal 1 damage.",x,5,Supply,Base,,O,1.06,,,1,/links/relicbackground.eps,,,18,"""Forged from unstable void ore, the blade shifts with the will of its wielder."" Adelheim, breach mage weaponsmith",O
Bottled Vortex,3,Relic,Destroy this. Destroy up to two cards in your hand or discard pile. Draw a card.,x,5,Supply,Base,prep,PurgingPotion,1.09,,,1,/links/relicbackground.eps,,,17,"""There are worlds within worlds, infinite realms cascading from the yawning nothing, eager to devour light and those who look to it."" Phaedraxa, breach mage seer",PurgingPotion
Unstable Prism,3,Relic,Play a gem in your hand twice and destroy it. OR Gain 2 $.,x,5,Supply,Base,,UnstableFocus,1.03,,,2,/links/relicbackground.eps,,,21,"""Not every pretty rock and pebble is a conduit through which to wage war. Some must be cut and carved into more useful and dangerous things."" Adelheim, breach mage weaponsmith",UnstableFocus
Blasting Staff,4,Relic,"You may cast a prepped spell that you prepped this turn. If you do, that spell deals 2 additonal damage.",x,5,Supply,Base,finished,Q,1.28,,,1,/links/relicbackground.eps,,,16,"While appearing to be crudely fashioned, these staffs contain within them the very essence of the void.",Q
Focusing Orb,4,Relic,Focus any player's breach. OR Destroy this. Gravehold gains 3 life.,x,5,Supply,Base,finished,R,1.03,,,1,/links/relicbackground.eps,,,19,"When Yohn Thrant touched his hand to the devilish thing, his eyes went dim and the life left him like a whisper. His daughter, Jian, picked it up as if knowing its purpose. That was the last day she ever spoke.",R
Transmogrifier,4,Relic,Destroy a card in hand. You may gain a card from any supply pile that costs up to 3 $ more than the destroyed card.,x,5,Supply,Expansion,prep,P,1.2,,,2,/links/relicbackground.eps,,,D05,"""Adelheim has fashioned this alien object from riddle and shadow."" Kadir, breach mage delver",P
Vim Dynamo,4,Relic,Suffer 1 damage. Any player draws two cards. OR Destroy this. Any player gains 2 life and 1 charge.,x,5,Supply,Expansion,,Sacrifice,1.03,,,2,/links/relicbackground.eps,,,D06,"""This is what happens when Adelheim mucks about with a contraption and a roiling breach."" Brama, breach mage elder",Sacrifice
Mage's Talisman,5,Relic,Gain 1 charge. Any ally gains 1 charge.,x,5,Supply,Base,prep,T,1.24,,,2,/links/relicbackground.eps,,,20,The sister-mages of old would wear their talismans as a symbol of their station and a warning to those that would challenge them.,T
